============================================================
Sistema POS — Actualizador de OTA
Sesión ID  : 1777998550071
Fecha/Hora : 2026-05-05 13:29:10.072903
Componente : backend
Versión    : 1.3.2
ZIP        : C:\Users\gines\AppData\Local\Temp\update_backend_v1.3.2.zip
Destino    : C:\laragon\www\Sistema_POS\pos-backend
============================================================
[INFO ] [13:29:10.074] Updater iniciado correctamente.
[INFO ] [13:29:16.749]   → 1430 archivos extraídos...
[INFO ] [13:29:16.857]   → 1440 archivos extraídos...
[INFO ] [13:29:16.986]   → 1450 archivos extraídos...
[INFO ] [13:29:17.088]   → 1460 archivos extraídos...
[INFO ] [13:29:17.251]   → 1470 archivos extraídos...
[INFO ] [13:29:17.447]   → 1480 archivos extraídos...
[INFO ] [13:29:17.552]   → 1490 archivos extraídos...
[INFO ] [13:29:17.577]   → 1500 archivos extraídos...
[INFO ] [13:29:17.628]   → 1510 archivos extraídos...
[INFO ] [13:29:17.670]   → 1520 archivos extraídos...
[INFO ] [13:29:17.902]   → 1530 archivos extraídos...
[INFO ] [13:29:17.933]   → 1540 archivos extraídos...
[INFO ] [13:29:17.986]   → 1550 archivos extraídos...
[INFO ] [13:29:18.047]   → 1560 archivos extraídos...
[INFO ] [13:29:18.094]   → 1570 archivos extraídos...
[INFO ] [13:29:18.135]   → 1580 archivos extraídos...
[INFO ] [13:29:18.159]   → 1590 archivos extraídos...
[INFO ] [13:29:18.177]   → 1600 archivos extraídos...
[INFO ] [13:29:18.205]   → 1610 archivos extraídos...
[INFO ] [13:29:18.220]   → 1620 archivos extraídos...
[INFO ] [13:29:18.266]   → 1630 archivos extraídos...
[INFO ] [13:29:18.284]   → 1640 archivos extraídos...
[INFO ] [13:29:18.307]   → 1650 archivos extraídos...
[INFO ] [13:29:18.358]   → 1660 archivos extraídos...
[INFO ] [13:29:18.388]   → 1670 archivos extraídos...
[INFO ] [13:29:18.412]   → 1680 archivos extraídos...
[INFO ] [13:29:18.427]   → 1690 archivos extraídos...
[INFO ] [13:29:18.451]   → 1700 archivos extraídos...
[INFO ] [13:29:18.541]   → 1710 archivos extraídos...
[INFO ] [13:29:18.580]   → 1720 archivos extraídos...
[INFO ] [13:29:18.626]   → 1730 archivos extraídos...
[INFO ] [13:29:18.639]   → 1740 archivos extraídos...
[INFO ] [13:29:18.661]   → 1750 archivos extraídos...
[INFO ] [13:29:18.710]   → 1760 archivos extraídos...
[INFO ] [13:29:18.732]   → 1770 archivos extraídos...
[INFO ] [13:29:18.760]   → 1780 archivos extraídos...
[INFO ] [13:29:18.808]   → 1790 archivos extraídos...
[INFO ] [13:29:18.841]   → 1800 archivos extraídos...
[INFO ] [13:29:18.896]   → 1810 archivos extraídos...
[INFO ] [13:29:18.936]   → 1820 archivos extraídos...
[INFO ] [13:29:18.991]   → 1830 archivos extraídos...
[INFO ] [13:29:19.008]   → 1840 archivos extraídos...
[INFO ] [13:29:19.026]   → 1850 archivos extraídos...
[INFO ] [13:29:19.041]   → 1860 archivos extraídos...
[INFO ] [13:29:19.061]   → 1870 archivos extraídos...
[INFO ] [13:29:19.088]   → 1880 archivos extraídos...
[INFO ] [13:29:19.121]   → 1890 archivos extraídos...
[INFO ] [13:29:19.173]   → 1900 archivos extraídos...
[INFO ] [13:29:19.205]   → 1910 archivos extraídos...
[INFO ] [13:29:19.252]   → 1920 archivos extraídos...
[INFO ] [13:29:19.300]   → 1930 archivos extraídos...
[INFO ] [13:29:19.333]   → 1940 archivos extraídos...
[INFO ] [13:29:19.349]   → 1950 archivos extraídos...
[INFO ] [13:29:19.396]   → 1960 archivos extraídos...
[INFO ] [13:29:19.414]   → 1970 archivos extraídos...
[INFO ] [13:29:19.482]   → 1980 archivos extraídos...
[INFO ] [13:29:19.527]   → 1990 archivos extraídos...
[INFO ] [13:29:19.627]   → 2000 archivos extraídos...
[INFO ] [13:29:19.656]   → 2010 archivos extraídos...
[INFO ] [13:29:19.674]   → 2020 archivos extraídos...
[INFO ] [13:29:19.700]   → 2030 archivos extraídos...
[INFO ] [13:29:19.718]   → 2040 archivos extraídos...
[INFO ] [13:29:19.746]   → 2050 archivos extraídos...
[INFO ] [13:29:19.773]   → 2060 archivos extraídos...
[INFO ] [13:29:19.787]   → 2070 archivos extraídos...
[INFO ] [13:29:19.807]   → 2080 archivos extraídos...
[INFO ] [13:29:19.828]   → 2090 archivos extraídos...
[INFO ] [13:29:19.876]   → 2100 archivos extraídos...
[INFO ] [13:29:19.886]   Archivo bloqueado: vendor/nesbot/carbon/src/Carbon/Lang/ka_GE.php — intentando fallback de renombre...
[INFO ] [13:29:19.897]   ✓ vendor/nesbot/carbon/src/Carbon/Lang/ka_GE.php extraído vía fallback.
[INFO ] [13:29:19.907]   → 2110 archivos extraídos...
[INFO ] [13:29:19.922]   → 2120 archivos extraídos...
[INFO ] [13:29:19.944]   → 2130 archivos extraídos...
[INFO ] [13:29:19.972]   → 2140 archivos extraídos...
[INFO ] [13:29:20.014]   → 2150 archivos extraídos...
[INFO ] [13:29:20.042]   → 2160 archivos extraídos...
[INFO ] [13:29:20.098]   → 2170 archivos extraídos...
[INFO ] [13:29:20.126]   → 2180 archivos extraídos...
[INFO ] [13:29:20.144]   → 2190 archivos extraídos...
[INFO ] [13:29:20.158]   → 2200 archivos extraídos...
[INFO ] [13:29:20.183]   → 2210 archivos extraídos...
[INFO ] [13:29:20.203]   → 2220 archivos extraídos...
[INFO ] [13:29:20.217]   → 2230 archivos extraídos...
[INFO ] [13:29:20.242]   → 2240 archivos extraídos...
[INFO ] [13:29:20.255]   → 2250 archivos extraídos...
[INFO ] [13:29:20.272]   → 2260 archivos extraídos...
[INFO ] [13:29:20.288]   → 2270 archivos extraídos...
